,IATA
0,AAG
1,AAI
2,AAX
3,AFL
4,AIF
5,AIR
6,AJU
7,ALQ
8,AMJ
9,APQ
10,APS
11,APU
12,APX
13,AQA
14,AQM
15,ARU
16,ATM
17,AUX
18,BAT
19,BAZ
20,BCR
21,BDC
22,BEL
23,BFH
24,BGX
25,BJP
26,BMS
27,BNU
28,BPG
29,BPS
30,BQQ
31,BRA
32,BRB
33,BSB
34,BSS
35,BVB
36,BVH
37,BVM
38,BVS
39,BYO
40,BZC
41,CAC
42,CAF
43,CAU
44,CAW
45,CCI
46,CCM
47,CDJ
48,CFB
49,CFC
50,CFO
51,CGB
52,CGH
53,CGR
54,CIZ
55,CKO
56,CKS
57,CLN
58,CLV
59,CMC
60,CMG
61,CMP
62,CNF
63,CNV
64,CPQ
65,CPU
66,CPV
67,CQA
68,CQS
69,CRQ
70,CSU
71,CTP
72,CTQ
73,CWB
74,CXJ
75,CZS
76,DIQ
77,DMT
78,DNO
79,DOU
80,DTI
81,ERM
82,ERN
83,FBA
84,FBE
85,FEN
86,FLB
87,FLN
88,FOR
89,FRC
90,GDP
91,GEL
92,GIG
93,GJM
94,GMS
95,GNM
96,GPB
97,GRP
98,GRU
99,GUJ
100,GUZ
101,GVR
102,GYN
103,HUW
104,IDO
105,IGU
106,IJU
107,IMP
108,IOS
109,IPG
110,IPN
111,IPU
112,IRE
113,IRZ
114,ITA
115,ITB
116,ITI
117,ITQ
118,ITR
119,IZA
120,JCB
121,JCM
122,JCR
123,JDF
124,JDO
125,JDR
126,JEQ
127,JIA
128,JLS
129,JNA
130,JOI
131,JPA
132,JPR
133,JRN
134,JTC
135,JUA
136,LAJ
137,LAZ
138,LBR
139,LDB
140,LEC
141,LEP
142,LIP
143,LVB
144,LVR
145,MAB
146,MAO
147,MBK
148,MBZ
149,MCP
150,MCZ
151,MEA
152,MEU
153,MGF
154,MII
155,MNX
156,MOC
157,MQH
158,MTE
159,MVF
160,MVS
161,NAT
162,NNU
163,NPR
164,NQL
165,NVP
166,NVT
167,OAL
168,OBI
169,OIA
170,OPS
171,ORX
172,OUS
173,OYK
174,PAV
175,PBQ
176,PCS
177,PDF
178,PET
179,PFB
180,PGZ
181,PHB
182,PHI
183,PIN
184,PLU
185,PMG
186,PMW
187,PNB
188,PNG
189,PNZ
190,POA
191,POJ
192,POO
193,PPB
194,PPY
195,PSW
196,PTO
197,PTQ
198,PVH
199,PVI
200,RAO
201,RBB
202,RBR
203,RDC
204,REC
205,RIA
206,RIG
207,ROO
208,RVD
209,SBJ
210,SDU
211,SJK
212,SJL
213,SJP
214,SLZ
215,SOD
216,SQM
217,SQX
218,SQY
219,SRA
220,SSA
221,SSO
222,SSZ
223,STM
224,STZ
225,SXO
226,SXX
227,TBT
228,TEC
229,TFF
230,TFL
231,THE
232,TLZ
233,TMT
234,TOW
235,TRQ
236,TUR
237,UBA
238,UBT
239,UDI
240,UMU
241,UNA
242,URG
243,VAG
244,VAL
245,VCP
246,VDC
247,VIA
248,VIX
249,VLP
250,VOT
251,XAP
252,GDR
253,JJD
254,JJG
255,QDV
256,TJL
257,ARX
258,GGH
259,JRT
260,JTN
261,RRJ
262,QNS
