,IATA
0,AGF
1,AHZ
2,AJA
3,ANE
4,ANG
5,AUF
6,AUR
7,AVN
8,BAE
9,BES
10,BIA
11,BIQ
12,BOD
13,BOU
14,BVA
15,BVE
16,BZR
17,CCF
18,CDG
19,CEQ
20,CER
21,CFE
22,CFR
23,CHR
24,CLY
25,CMF
26,CMR
27,CNG
28,CQF
29,CTT
30,DCM
31,DIJ
32,DLE
33,DNR
34,DOL
35,EBU
36,EDM
37,EGC
38,ENC
39,EPL
40,ETZ
41,FNI
42,FSC
43,GAT
44,GNB
45,HZB
46,IDY
47,LAI
48,LBG
49,LBI
50,LBY
51,LDE
52,LEH
53,LIG
54,LIL
55,LME
56,LPY
57,LRH
58,LRT
59,LSO
60,LTQ
61,LTT
62,LVA
63,LYN
64,LYS
65,MCU
66,MEN
67,MPL
68,MRS
69,MXN
70,NCE
71,NCY
72,NIT
73,NTE
74,NVS
75,OBS
76,ORY
77,PGF
78,PGX
79,PIS
80,POX
81,PUF
82,RCO
83,RDZ
84,RHE
85,RNE
86,RNS
87,RYN
88,SBK
89,SNR
90,SXB
91,SYT
92,TLN
93,TLS
94,TNF
95,TUF
96,UIP
97,URO
98,VAF
99,VHY
100,VNE
101,VTL
102,XCR
103,ZAO
104,QBQ
105,QNJ
106,QXB
107,QYA
108,QYB
109,QYR
110,XAC
111,XMU
112,XCD
