,IATA
0,AAF
1,ABE
2,ABI
3,ABL
4,ABQ
5,ABR
6,ABY
7,ACB
8,ACK
9,ACT
10,ACV
11,ACY
12,ADG
13,ADK
14,ADM
15,ADQ
16,ADR
17,ADS
18,ADT
19,AEL
20,AET
21,AEX
22,AFF
23,AFN
24,AFO
25,AFW
26,AGC
27,AGN
28,AGO
29,AGS
30,AHD
31,AHH
32,AHN
33,AIA
34,AID
35,AIK
36,AIN
37,AIO
38,AIV
39,AIZ
40,AKB
41,AKC
42,AKI
43,AKK
44,AKN
45,AKO
46,AKP
47,ALB
48,ALE
49,ALI
50,ALM
51,ALN
52,ALO
53,ALS
54,ALW
55,ALX
56,AMA
57,AMN
58,AMW
59,ANB
60,ANC
61,AND
62,ANI
63,ANN
64,ANP
65,ANQ
66,ANV
67,ANW
68,ANY
69,AOH
70,AOO
71,APA
72,APC
73,APF
74,APN
75,APV
76,ARA
77,ARB
78,ARC
79,ARG
80,ART
81,ARV
82,ASE
83,ASH
84,ASL
85,ASN
86,ASQ
87,AST
88,ASX
89,ATK
90,ATL
91,ATS
92,ATT
93,ATW
94,ATY
95,AUG
96,AUK
97,AUM
98,AUN
99,AUO
100,AUS
101,AUZ
102,AVL
103,AVO
104,AVP
105,AVW
106,AVX
107,AWM
108,AXG
109,AXN
110,AXS
111,AXV
112,AYS
113,AZA
114,AZO
115,BAB
116,BAF
117,BAM
118,BBB
119,BBC
120,BBD
121,BBW
122,BBX
123,BCB
124,BCE
125,BCT
126,BDE
127,BDG
128,BDL
129,BDR
130,BEC
131,BED
132,BET
133,BFD
134,BFF
135,BFI
136,BFL
137,BFM
138,BFP
139,BFR
140,BFT
141,BGD
142,BGE
143,BGM
144,BGQ
145,BGR
146,BHB
147,BHM
148,BID
149,BIE
150,BIF
151,BIG
152,BIH
153,BIL
154,BIS
155,BJC
156,BJI
157,BJJ
158,BKC
159,BKE
160,BKF
161,BKG
162,BKH
163,BKL
164,BKT
165,BKW
166,BLD
167,BLH
168,BLI
169,BLM
170,BLU
171,BLV
172,BMC
173,BMG
174,BMI
175,BML
176,BMT
177,BNA
178,BNG
179,BNL
180,BNO
181,BNW
182,BOI
183,BOK
184,BOS
185,BOW
186,BPI
187,BPT
188,BQK
189,BRD
190,BRL
191,BRO
192,BRW
193,BTI
194,BTL
195,BTM
196,BTP
197,BTR
198,BTT
199,BTV
200,BTY
201,BUF
202,BUR
203,BVO
204,BVU
205,BVX
206,BVY
207,BWC
208,BWG
209,BWI
210,BWM
211,BXA
212,BXK
213,BXS
214,BYG
215,BYH
216,BYI
217,BYS
218,BZN
219,CAD
220,CAE
221,CAK
222,CAO
223,CAR
224,CBE
225,CBF
226,CCB
227,CCR
228,CCY
229,CDB
230,CDC
231,CDH
232,CDK
233,CDR
234,CDS
235,CDV
236,CDW
237,CEC
238,CEF
239,CEM
240,CEU
241,CEW
242,CEZ
243,CFT
244,CFV
245,CGE
246,CGI
247,CGS
248,CGZ
249,CHA
250,CHK
251,CHL
252,CHO
253,CHS
254,CHU
255,CIC
256,CID
257,CIG
258,CIK
259,CIN
260,CIR
261,CIU
262,CKB
263,CKN
264,CKV
265,CLD
266,CLE
267,CLK
268,CLL
269,CLM
270,CLP
271,CLT
272,CLU
273,CLW
274,CMH
275,CMI
276,CMX
277,CMY
278,CNH
279,CNK
280,CNM
281,CNO
282,CNU
283,CNW
284,CNY
285,COD
286,COE
287,COI
288,COM
289,COS
290,COT
291,COU
292,CPM
293,CPR
294,CPS
295,CRE
296,CRG
297,CRO
298,CRP
299,CRS
300,CRW
301,CRX
302,CSM
303,CSN
304,CSQ
305,CSV
306,CTB
307,CTH
308,CTY
309,CTZ
310,CUB
311,CUH
312,CVG
313,CVN
314,CVO
315,CWA
316,CWF
317,CWI
318,CXL
319,CXO
320,CYF
321,CYS
322,CYT
323,CZF
324,CZK
325,DAB
326,DAG
327,DAL
328,DAN
329,DAY
330,DBN
331,DBQ
332,DCA
333,DCU
334,DDC
335,DEC
336,DEH
337,DEN
338,DET
339,DFI
340,DFW
341,DGL
342,DGW
343,DHN
344,DHT
345,DIK
346,DKK
347,DLG
348,DLH
349,DLL
350,DLN
351,DLS
352,DMA
353,DMN
354,DMO
355,DNL
356,DNN
357,DNS
358,DNV
359,DOV
360,DPA
361,DRA
362,DRE
363,DRG
364,DRI
365,DRO
366,DRT
367,DSM
368,DSV
369,DTA
370,DTL
371,DTN
372,DTW
373,DUA
374,DUC
375,DUG
376,DUJ
377,DUT
378,DVL
379,DVN
380,DVT
381,DWH
382,DXR
383,DYL
384,EAA
385,EAR
386,EAT
387,EAU
388,EBS
389,ECG
390,ECP
391,EDE
392,EDK
393,EED
394,EEK
395,EEN
396,EFD
397,EFK
398,EGE
399,EGV
400,EGX
401,EHM
402,EKA
403,EKN
404,EKO
405,ELD
406,ELI
407,ELK
408,ELM
409,ELN
410,ELP
411,ELV
412,ELY
413,ELZ
414,EMK
415,EMM
416,EMT
417,ENA
418,ENL
419,ENN
420,ENV
421,ENW
422,EOK
423,EOS
424,EPH
425,ERI
426,ESC
427,ESD
428,ESF
429,ESN
430,EST
431,ESW
432,ETB
433,ETS
434,EUG
435,EVM
436,EVV
437,EVW
438,EWB
439,EWD
440,EWK
441,EWN
442,EWR
443,EYW
444,FAF
445,FAI
446,FAM
447,FAR
448,FAT
449,FAY
450,FBG
451,FBL
452,FCA
453,FCH
454,FCM
455,FCS
456,FDK
457,FDR
458,FDY
459,FEP
460,FET
461,FFA
462,FFL
463,FFM
464,FFT
465,FHU
466,FIL
467,FKL
468,FKN
469,FLD
470,FLG
471,FLL
472,FLO
473,FLP
474,FMC
475,FME
476,FMN
477,FMY
478,FNL
479,FNR
480,FNT
481,FOD
482,FOE
483,FOK
484,FPR
485,FPY
486,FRD
487,FRG
488,FRH
489,FRM
490,FSD
491,FSI
492,FSK
493,FSM
494,FST
495,FSU
496,FTK
497,FTW
498,FTY
499,FUL
500,FWA
501,FXE
502,FXY
503,FYU
504,FYV
505,GAB
506,GAD
507,GAG
508,GAI
509,GAL
510,GAM
511,GBD
512,GBG
513,GBH
514,GBR
515,GCC
516,GCK
517,GCN
518,GCY
519,GDC
520,GDM
521,GDV
522,GDW
523,GED
524,GEG
525,GEY
526,GFK
527,GFL
528,GGE
529,GGG
530,GGW
531,GHM
532,GIF
533,GJT
534,GKN
535,GKT
536,GLD
537,GLE
538,GLH
539,GLR
540,GLS
541,GLV
542,GLW
543,GMT
544,GMU
545,GNT
546,GNV
547,GON
548,GPT
549,GPZ
550,GQQ
551,GRB
552,GRD
553,GRE
554,GRI
555,GRK
556,GRM
557,GRN
558,GRR
559,GSO
560,GSP
561,GST
562,GTF
563,GTG
564,GTR
565,GUC
566,GUF
567,GUP
568,GUS
569,GUY
570,GVL
571,GVT
572,GWO
573,GXY
574,GYR
575,GYY
576,HAB
577,HAF
578,HAR
579,HBG
580,HBR
581,HCR
582,HCW
583,HDE
584,HDN
585,HEE
586,HES
587,HEZ
588,HFD
589,HGR
590,HHH
591,HIB
592,HIE
593,HII
594,HIO
595,HKA
596,HKB
597,HKS
598,HKY
599,HLC
600,HLI
601,HLM
602,HLN
603,HMT
604,HNC
605,HNH
606,HNL
607,HNM
608,HNS
609,HOB
610,HOM
611,HON
612,HOP
613,HOT
614,HOU
615,HPB
616,HPN
617,HPY
618,HRL
619,HRO
620,HSH
621,HSI
622,HSL
623,HSV
624,HTH
625,HTL
626,HTO
627,HTS
628,HTW
629,HUF
630,HUJ
631,HUL
632,HUM
633,HUS
634,HUT
635,HVE
636,HVN
637,HVR
638,HVS
639,HWD
640,HWO
641,HYA
642,HYG
643,HYS
644,HZL
645,IAD
646,IAG
647,IAH
648,IAN
649,ICT
650,IDA
651,IDH
652,IDI
653,IDP
654,IFP
655,IGG
656,IGM
657,IJX
658,IKK
659,ILE
660,ILG
661,ILI
662,ILM
663,ILN
664,IML
665,IMM
666,IMT
667,IND
668,INK
669,INL
670,INR
671,INT
672,INW
673,IOW
674,IPL
675,IPT
676,IRC
677,IRK
678,ISM
679,ISN
680,ISP
681,ISS
682,ITH
683,ITO
684,IWD
685,IWS
686,IYK
687,JAC
688,JAN
689,JAX
690,JBR
691,JCI
692,JDA
693,JDN
694,JEF
695,JFK
696,JFN
697,JHM
698,JHW
699,JKV
700,JLN
701,JMS
702,JNU
703,JOT
704,JST
705,JVL
706,JXN
707,KAE
708,KAL
709,KCQ
710,KDK
711,KFP
712,KGK
713,KIC
714,KIP
715,KKA
716,KKH
717,KLG
718,KLN
719,KLS
720,KLW
721,KMO
722,KNB
723,KNK
724,KNT
725,KNW
726,KOA
727,KOT
728,KPC
729,KPN
730,KPV
731,KSM
732,KTN
733,KTS
734,KUK
735,KVC
736,KVL
737,KWK
738,KWN
739,KWT
740,KYK
741,KYU
742,LAA
743,LAL
744,LAM
745,LAN
746,LAR
747,LAS
748,LAW
749,LAX
750,LBB
751,LBE
752,LBF
753,LBL
754,LBT
755,LCH
756,LCI
757,LCK
758,LCQ
759,LDJ
760,LDM
761,LEB
762,LEE
763,LEW
764,LEX
765,LFK
766,LFN
767,LFT
768,LGA
769,LGB
770,LGC
771,LGD
772,LGU
773,LHV
774,LIC
775,LIH
776,LIT
777,LJN
778,LKE
779,LKP
780,LKV
781,LLX
782,LMS
783,LMT
784,LNA
785,LND
786,LNI
787,LNK
788,LNP
789,LNR
790,LNS
791,LNY
792,LOL
793,LOT
794,LOU
795,LOZ
796,LPC
797,LPO
798,LQK
799,LRD
800,LRF
801,LRJ
802,LRU
803,LSE
804,LSF
805,LSN
806,LSV
807,LUK
808,LUP
809,LUR
810,LVK
811,LVM
812,LVS
813,LWB
814,LWC
815,LWM
816,LWS
817,LWT
818,LWV
819,LXN
820,LXV
821,LYH
822,LYU
823,LZU
824,MAC
825,MAE
826,MAF
827,MAW
828,MBG
829,MBL
830,MBS
831,MBY
832,MCE
833,MCF
834,MCG
835,MCI
836,MCK
837,MCN
838,MCO
839,MCW
840,MDD
841,MDF
842,MDH
843,MDN
844,MDO
845,MDT
846,MDW
847,MEI
848,MEM
849,MER
850,MEV
851,MFD
852,MFE
853,MFR
854,MFV
855,MGC
856,MGJ
857,MGM
858,MGW
859,MGY
860,MHE
861,MHK
862,MHM
863,MHN
864,MHR
865,MHT
866,MHV
867,MIA
868,MIC
869,MIO
870,MIQ
871,MIV
872,MIW
873,MJQ
874,MJX
875,MKC
876,MKE
877,MKG
878,MKK
879,MKL
880,MKT
881,MLB
882,MLC
883,MLF
884,MLI
885,MLJ
886,MLL
887,MLS
888,MLT
889,MLU
890,MLY
891,MMH
892,MMI
893,MML
894,MMU
895,MNM
896,MNN
897,MOB
898,MOD
899,MOP
900,MOR
901,MOT
902,MOU
903,MPJ
904,MPO
905,MPV
906,MPZ
907,MQT
908,MQY
909,MRB
910,MRF
911,MRK
912,MRN
913,MRY
914,MSL
915,MSN
916,MSO
917,MSP
918,MSS
919,MSV
920,MSY
921,MTC
922,MTH
923,MTJ
924,MTM
925,MTN
926,MTO
927,MTP
928,MTW
929,MUE
930,MUL
931,MUO
932,MUT
933,MVC
934,MVL
935,MVW
936,MVY
937,MWA
938,MWC
939,MWH
940,MWL
941,MWM
942,MXA
943,MXE
944,MXF
945,MYL
946,MYR
947,MYU
948,MYV
949,MZJ
950,MZZ
951,NCN
952,NCO
953,NEW
954,NFL
955,NGU
956,NHZ
957,NIB
958,NIP
959,NJK
960,NLC
961,NLG
962,NME
963,NNL
964,NPA
965,NPT
966,NQA
967,NQI
968,NRS
969,NTD
970,NTU
971,NUI
972,NUL
973,NVD
974,NXX
975,NZY
976,OAJ
977,OAK
978,OAR
979,OBE
980,OBU
981,OCE
982,OCH
983,OCN
984,OFK
985,OGA
986,OGB
987,OGD
988,OGG
989,OGS
990,OJC
991,OKC
992,OKK
993,OKM
994,OLD
995,OLF
996,OLM
997,OLS
998,OLU
999,OLV
1000,OMA
1001,OME
1002,OMK
1003,ONA
1004,ONL
1005,ONO
1006,ONP
1007,ONT
1008,OOK
1009,OPF
1010,OPL
1011,ORD
1012,ORF
1013,ORH
1014,ORL
1015,ORT
1016,ORV
1017,OSC
1018,OSH
1019,OSU
1020,OTG
1021,OTH
1022,OTM
1023,OTZ
1024,OVE
1025,OWB
1026,OWD
1027,OWK
1028,OXC
1029,OXR
1030,PAE
1031,PAH
1032,PAK
1033,PAO
1034,PAQ
1035,PBF
1036,PBG
1037,PBI
1038,PCA
1039,PCD
1040,PDK
1041,PDT
1042,PDX
1043,PEQ
1044,PFC
1045,PGA
1046,PGD
1047,PGL
1048,PGV
1049,PHF
1050,PHL
1051,PHN
1052,PHO
1053,PHP
1054,PHT
1055,PHX
1056,PIA
1057,PIB
1058,PIE
1059,PIH
1060,PIM
1061,PIP
1062,PIR
1063,PIT
1064,PIZ
1065,PJB
1066,PKA
1067,PKB
1068,PLN
1069,PLR
1070,PMB
1071,PMH
1072,PML
1073,PNC
1074,PNE
1075,PNN
1076,PNS
1077,PNX
1078,POH
1079,POU
1080,PPC
1081,PPF
1082,PPM
1083,PQI
1084,PRB
1085,PRC
1086,PRO
1087,PRX
1088,PSC
1089,PSG
1090,PSK
1091,PSM
1092,PSP
1093,PSX
1094,PTA
1095,PTB
1096,PTD
1097,PTH
1098,PTK
1099,PTN
1100,PTS
1101,PTT
1102,PTU
1103,PTV
1104,PTW
1105,PUB
1106,PUC
1107,PUW
1108,PVC
1109,PVD
1110,PVF
1111,PVU
1112,PVW
1113,PWA
1114,PWK
1115,PWM
1116,PWT
1117,PYM
1118,RAL
1119,RAP
1120,RBD
1121,RBG
1122,RBL
1123,RBW
1124,RBY
1125,RCR
1126,RDB
1127,RDD
1128,RDG
1129,RDM
1130,RDU
1131,RED
1132,REO
1133,RFD
1134,RHI
1135,RHV
1136,RIC
1137,RID
1138,RIE
1139,RIL
1140,RIR
1141,RIW
1142,RKD
1143,RKH
1144,RKP
1145,RKR
1146,RKS
1147,RKW
1148,RLD
1149,RME
1150,RMG
1151,RMY
1152,RNO
1153,RNT
1154,RNZ
1155,ROA
1156,ROC
1157,ROG
1158,ROW
1159,RRT
1160,RSH
1161,RSL
1162,RSN
1163,RST
1164,RSW
1165,RUT
1166,RVR
1167,RVS
1168,RWI
1169,RWL
1170,RXE
1171,SAC
1172,SAD
1173,SAF
1174,SAN
1175,SAS
1176,SAT
1177,SAV
1178,SBA
1179,SBD
1180,SBM
1181,SBN
1182,SBP
1183,SBS
1184,SBX
1185,SBY
1186,SCB
1187,SCC
1188,SCE
1189,SCF
1190,SCH
1191,SCK
1192,SCM
1193,SDF
1194,SDM
1195,SDP
1196,SDX
1197,SDY
1198,SEA
1199,SEE
1200,SEF
1201,SEG
1202,SEM
1203,SER
1204,SFB
1205,SFF
1206,SFM
1207,SFO
1208,SFZ
1209,SGF
1210,SGR
1211,SGT
1212,SGU
1213,SGY
1214,SHD
1215,SHG
1216,SHH
1217,SHN
1218,SHR
1219,SHV
1220,SHX
1221,SIK
1222,SIT
1223,SIV
1224,SIY
1225,SJC
1226,SJN
1227,SJT
1228,SKK
1229,SKW
1230,SLC
1231,SLE
1232,SLG
1233,SLK
1234,SLN
1235,SLQ
1236,SLR
1237,SLT
1238,SME
1239,SMF
1240,SMK
1241,SMN
1242,SMO
1243,SMU
1244,SMX
1245,SNA
1246,SNP
1247,SNS
1248,SNY
1249,SOP
1250,SOV
1251,SOW
1252,SPA
1253,SPF
1254,SPG
1255,SPI
1256,SPS
1257,SPW
1258,SPZ
1259,SQA
1260,SQL
1261,SRC
1262,SRQ
1263,SRW
1264,SSF
1265,SSI
1266,STC
1267,STE
1268,STG
1269,STJ
1270,STL
1271,STP
1272,STQ
1273,STS
1274,SUA
1275,SUN
1276,SUO
1277,SUS
1278,SUU
1279,SUW
1280,SUX
1281,SVA
1282,SVC
1283,SVE
1284,SVH
1285,SVN
1286,SVW
1287,SWF
1288,SWO
1289,SYL
1290,SYR
1291,SZP
1292,TAD
1293,TAL
1294,TBN
1295,TCC
1296,TCL
1297,TCM
1298,TCS
1299,TDO
1300,TDW
1301,TDZ
1302,TEB
1303,TEX
1304,THV
1305,TIK
1306,TIW
1307,TIX
1308,TKA
1309,TKF
1310,TKI
1311,TKJ
1312,TLA
1313,TLH
1314,TLJ
1315,TMA
1316,TMB
1317,TNC
1318,TNP
1319,TNT
1320,TNU
1321,TOA
1322,TOC
1323,TOG
1324,TOI
1325,TOL
1326,TOP
1327,TOR
1328,TPA
1329,TPF
1330,TPH
1331,TPL
1332,TRI
1333,TRL
1334,TRM
1335,TRX
1336,TSM
1337,TSP
1338,TTD
1339,TTN
1340,TTO
1341,TUL
1342,TUP
1343,TUS
1344,TVC
1345,TVF
1346,TVI
1347,TVL
1348,TWF
1349,TXK
1350,TYR
1351,TYS
1352,TYZ
1353,TZC
1354,UBS
1355,UDD
1356,UGN
1357,UIL
1358,UIN
1359,UKI
1360,UKT
1361,ULM
1362,UMM
1363,UMT
1364,UNK
1365,UNU
1366,UOS
1367,UOX
1368,UPP
1369,UST
1370,UTM
1371,UTO
1372,VAK
1373,VCB
1374,VCT
1375,VCV
1376,VDZ
1377,VEE
1378,VEL
1379,VGT
1380,VHN
1381,VIS
1382,VKS
1383,VLD
1384,VNC
1385,VNY
1386,VOK
1387,VPS
1388,VPZ
1389,VRB
1390,VTN
1391,WAA
1392,WAH
1393,WBQ
1394,WBR
1395,WBU
1396,WBW
1397,WCR
1398,WDG
1399,WDR
1400,WHP
1401,WHT
1402,WIB
1403,WLD
1404,WLK
1405,WLW
1406,WMC
1407,WMH
1408,WMO
1409,WNA
1410,WRG
1411,WRL
1412,WSG
1413,WSH
1414,WSN
1415,WST
1416,WTK
1417,WTR
1418,WVI
1419,WVL
1420,WWD
1421,WWR
1422,WWT
1423,WYS
1424,XMD
1425,XNA
1426,XSD
1427,YAK
1428,YIP
1429,YKM
1430,YKN
1431,YNG
1432,YUM
1433,ZGD
1434,ZPH
1435,ZUA
1436,ZWI
1437,ZWW
1438,ZZV
1439,CSG
1440,DXE
1441,EDC
1442,GTB
1443,GYB
1444,HYI
1445,IMS
1446,JZI
1447,NGF
1448,PNM
1449,PWY
1450,QQA
1451,QQB
1452,QQC
1453,QQE
1454,QQF
1455,QQG
1456,QQI
1457,QQL
1458,QQQ
1459,QQV
1460,QQZ
1461,SSM
1462,TYQ
1463,USA
1464,DGG
1465,HMP
1466,HWY
1467,LLQ
1468,OFF
1469,PVL
1470,QQJ
1471,VKX
