,Date,DepartureIATA,DepartureTime,ArrivalIATA,ArrivalTime,Aircraft,AirlineName,AirlineIATA,FlightNumberIATA
0,2024-12-11,LAX,2024-12-11 10:36:00,CUN,2024-12-11 18:19:00,B39M,Alaska Airlines,AS,AS1332
1,2024-12-11,LAX,2024-12-11 07:14:00,CUN,2024-12-11 15:00:00,B39M,Alaska Airlines,AS,AS1366
2,2024-12-11,LAX,2024-12-11 10:35:00,CUN,2024-12-11 18:15:00,B739,Delta Air Lines,DL,DL615
3,2024-12-11,LAX,2024-12-11 09:00:00,CUN,2024-12-11 16:45:00,B39M,United Airlines,UA,UA1276
4,2024-12-10,LAX,2024-12-10 10:36:00,CUN,2024-12-10 18:19:00,B39M,Alaska Airlines,AS,AS1332
5,2024-12-10,LAX,2024-12-10 07:14:00,CUN,2024-12-10 15:00:00,B39M,Alaska Airlines,AS,AS1366
6,2024-12-10,LAX,2024-12-10 10:35:00,CUN,2024-12-10 18:15:00,B739,Delta Air Lines,DL,DL615
7,2024-12-10,LAX,2024-12-10 23:55:00,CUN,2024-12-11 07:29:00,B739,United Airlines,UA,UA1075
8,2024-12-10,LAX,2024-12-10 09:00:00,CUN,2024-12-10 16:45:00,B39M,United Airlines,UA,UA1276
9,2024-12-09,LAX,2024-12-09 10:36:00,CUN,2024-12-09 18:19:00,B38M,Alaska Airlines,AS,AS1332
10,2024-12-09,LAX,2024-12-09 07:14:00,CUN,2024-12-09 15:00:00,B39M,Alaska Airlines,AS,AS1366
11,2024-12-09,LAX,2024-12-09 10:35:00,CUN,2024-12-09 18:15:00,B739,Delta Air Lines,DL,DL615
12,2024-12-09,LAX,2024-12-09 23:55:00,CUN,2024-12-10 07:29:00,B739,United Airlines,UA,UA1075
13,2024-12-09,LAX,2024-12-09 09:00:00,CUN,2024-12-09 16:45:00,B39M,United Airlines,UA,UA1276
14,2024-12-08,LAX,2024-12-08 10:36:00,CUN,2024-12-08 18:19:00,B738,Alaska Airlines,AS,AS1332
15,2024-12-08,LAX,2024-12-08 07:14:00,CUN,2024-12-08 15:00:00,B739,Alaska Airlines,AS,AS1366
16,2024-12-08,LAX,2024-12-08 10:35:00,CUN,2024-12-08 18:15:00,B739,Delta Air Lines,DL,DL615
17,2024-12-08,LAX,2024-12-08 23:55:00,CUN,2024-12-09 07:29:00,B739,United Airlines,UA,UA1075
18,2024-12-08,LAX,2024-12-08 09:00:00,CUN,2024-12-08 16:45:00,B39M,United Airlines,UA,UA1276
19,2024-12-07,LAX,2024-12-07 08:35:00,CUN,2024-12-07 16:10:00,B738,American Airlines,AA,AA2801
20,2024-12-07,LAX,2024-12-07 10:36:00,CUN,2024-12-07 18:19:00,B39M,Alaska Airlines,AS,AS1332
21,2024-12-07,LAX,2024-12-07 07:14:00,CUN,2024-12-07 15:00:00,B39M,Alaska Airlines,AS,AS1366
22,2024-12-07,LAX,2024-12-07 10:35:00,CUN,2024-12-07 18:15:00,B739,Delta Air Lines,DL,DL615
23,2024-12-07,LAX,2024-12-07 23:55:00,CUN,2024-12-08 07:29:00,B739,United Airlines,UA,UA1075
24,2024-12-07,LAX,2024-12-07 09:00:00,CUN,2024-12-07 16:45:00,B39M,United Airlines,UA,UA1276
25,2024-12-06,LAX,2024-12-06 10:36:00,CUN,2024-12-06 18:19:00,B39M,Alaska Airlines,AS,AS1332
26,2024-12-06,LAX,2024-12-06 07:14:00,CUN,2024-12-06 15:00:00,B39M,Alaska Airlines,AS,AS1366
27,2024-12-06,LAX,2024-12-06 10:35:00,CUN,2024-12-06 18:15:00,B739,Delta Air Lines,DL,DL615
28,2024-12-06,LAX,2024-12-06 23:55:00,CUN,2024-12-07 07:29:00,B739,United Airlines,UA,UA1075
29,2024-12-06,LAX,2024-12-06 09:00:00,CUN,2024-12-06 16:45:00,B39M,United Airlines,UA,UA1276
30,2024-12-05,LAX,2024-12-05 10:36:00,CUN,2024-12-05 18:19:00,B39M,Alaska Airlines,AS,AS1332
31,2024-12-05,LAX,2024-12-05 07:14:00,CUN,2024-12-05 15:00:00,B39M,Alaska Airlines,AS,AS1366
32,2024-12-05,LAX,2024-12-05 10:20:00,CUN,2024-12-05 18:00:00,B739,Delta Air Lines,DL,DL615
33,2024-12-05,LAX,2024-12-05 23:55:00,CUN,2024-12-06 07:29:00,B739,United Airlines,UA,UA1075
34,2024-12-05,LAX,2024-12-05 09:00:00,CUN,2024-12-05 16:45:00,B39M,United Airlines,UA,UA1276
35,2024-12-04,LAX,2024-12-04 10:36:00,CUN,2024-12-04 18:19:00,B39M,Alaska Airlines,AS,AS1332
36,2024-12-04,LAX,2024-12-04 07:14:00,CUN,2024-12-04 15:00:00,B739,Alaska Airlines,AS,AS1366
37,2024-12-04,LAX,2024-12-04 10:20:00,CUN,2024-12-04 18:00:00,B739,Delta Air Lines,DL,DL615
38,2024-12-04,LAX,2024-12-04 23:55:00,CUN,2024-12-05 07:29:00,B739,United Airlines,UA,UA1075
39,2024-12-04,LAX,2024-12-04 09:00:00,CUN,2024-12-04 16:45:00,B39M,United Airlines,UA,UA1276
40,2024-12-03,LAX,2024-12-03 10:36:00,CUN,2024-12-03 18:19:00,B738,Alaska Airlines,AS,AS1332
41,2024-12-03,LAX,2024-12-03 07:14:00,CUN,2024-12-03 15:00:00,B39M,Alaska Airlines,AS,AS1366
42,2024-12-03,LAX,2024-12-03 10:20:00,CUN,2024-12-03 18:00:00,B739,Delta Air Lines,DL,DL615
43,2024-12-03,LAX,2024-12-03 23:55:00,CUN,2024-12-04 07:29:00,B739,United Airlines,UA,UA1075
44,2024-12-03,LAX,2024-12-03 09:00:00,CUN,2024-12-03 16:45:00,B39M,United Airlines,UA,UA1276
45,2024-12-02,LAX,2024-12-02 10:37:00,CUN,2024-12-02 18:20:00,B39M,Alaska Airlines,AS,AS1332
46,2024-12-02,LAX,2024-12-02 07:13:00,CUN,2024-12-02 14:57:00,B739,Alaska Airlines,AS,AS1340
47,2024-12-02,LAX,2024-12-02 10:20:00,CUN,2024-12-02 18:00:00,B739,Delta Air Lines,DL,DL615
48,2024-12-02,LAX,2024-12-02 23:55:00,CUN,2024-12-03 07:29:00,B739,United Airlines,UA,UA1075
49,2024-12-02,LAX,2024-12-02 09:00:00,CUN,2024-12-02 16:45:00,B39M,United Airlines,UA,UA1276
50,2024-12-01,LAX,2024-12-01 10:37:00,CUN,2024-12-01 18:20:00,B39M,Alaska Airlines,AS,AS1332
51,2024-12-01,LAX,2024-12-01 07:13:00,CUN,2024-12-01 14:57:00,B739,Alaska Airlines,AS,AS1340
52,2024-12-01,LAX,2024-12-01 23:46:00,CUN,2024-12-02 07:30:00,B39M,Alaska Airlines,AS,AS1447
53,2024-12-01,LAX,2024-12-01 10:20:00,CUN,2024-12-01 18:00:00,B739,Delta Air Lines,DL,DL615
54,2024-12-01,LAX,2024-12-01 23:55:00,CUN,2024-12-02 07:29:00,B739,United Airlines,UA,UA1075
55,2024-12-01,LAX,2024-12-01 09:00:00,CUN,2024-12-01 16:45:00,B39M,United Airlines,UA,UA1276
56,2024-11-30,LAX,2024-11-30 08:35:00,CUN,2024-11-30 16:05:00,B738,American Airlines,AA,AA2801
57,2024-11-30,LAX,2024-11-30 10:37:00,CUN,2024-11-30 18:20:00,B39M,Alaska Airlines,AS,AS1332
58,2024-11-30,LAX,2024-11-30 07:13:00,CUN,2024-11-30 14:57:00,B39M,Alaska Airlines,AS,AS1340
59,2024-11-30,LAX,2024-11-30 23:46:00,CUN,2024-12-01 07:30:00,B39M,Alaska Airlines,AS,AS1447
60,2024-11-30,LAX,2024-11-30 10:20:00,CUN,2024-11-30 18:00:00,B739,Delta Air Lines,DL,DL615
61,2024-11-30,LAX,2024-11-30 23:55:00,CUN,2024-12-01 07:29:00,B739,United Airlines,UA,UA1075
62,2024-11-30,LAX,2024-11-30 09:00:00,CUN,2024-11-30 16:45:00,B39M,United Airlines,UA,UA1276
63,2024-11-29,LAX,2024-11-29 10:37:00,CUN,2024-11-29 18:20:00,B39M,Alaska Airlines,AS,AS1332
64,2024-11-29,LAX,2024-11-29 07:13:00,CUN,2024-11-29 14:57:00,B739,Alaska Airlines,AS,AS1340
65,2024-11-29,LAX,2024-11-29 23:46:00,CUN,2024-11-30 07:30:00,B39M,Alaska Airlines,AS,AS1447
66,2024-11-29,LAX,2024-11-29 10:20:00,CUN,2024-11-29 18:00:00,B739,Delta Air Lines,DL,DL615
67,2024-11-29,LAX,2024-11-29 23:55:00,CUN,2024-11-30 07:29:00,B739,United Airlines,UA,UA1075
68,2024-11-29,LAX,2024-11-29 09:00:00,CUN,2024-11-29 16:45:00,B39M,United Airlines,UA,UA1276
69,2024-11-28,LAX,2024-11-28 10:37:00,CUN,2024-11-28 18:20:00,B39M,Alaska Airlines,AS,AS1332
70,2024-11-28,LAX,2024-11-28 07:13:00,CUN,2024-11-28 14:57:00,B39M,Alaska Airlines,AS,AS1340
71,2024-11-28,LAX,2024-11-28 23:46:00,CUN,2024-11-29 07:30:00,B39M,Alaska Airlines,AS,AS1447
72,2024-11-28,LAX,2024-11-28 10:20:00,CUN,2024-11-28 18:00:00,B739,Delta Air Lines,DL,DL615
73,2024-11-28,LAX,2024-11-28 23:55:00,CUN,2024-11-29 07:29:00,B739,United Airlines,UA,UA1075
74,2024-11-28,LAX,2024-11-28 09:00:00,CUN,2024-11-28 16:45:00,B39M,United Airlines,UA,UA1276
75,2024-11-27,LAX,2024-11-27 10:37:00,CUN,2024-11-27 18:20:00,B39M,Alaska Airlines,AS,AS1332
76,2024-11-27,LAX,2024-11-27 07:13:00,CUN,2024-11-27 14:57:00,B739,Alaska Airlines,AS,AS1340
77,2024-11-27,LAX,2024-11-27 23:46:00,CUN,2024-11-28 07:30:00,B739,Alaska Airlines,AS,AS1447
78,2024-11-27,LAX,2024-11-27 10:20:00,CUN,2024-11-27 18:00:00,B739,Delta Air Lines,DL,DL615
79,2024-11-27,LAX,2024-11-27 23:55:00,CUN,2024-11-28 07:29:00,B739,United Airlines,UA,UA1075
