Reference area,TIME_PERIOD,Production,Unemployment,Confidence,Baro
France,2024-09,98.35004535536544,7.5,-26.6,0.2007681
France,2024-08,99.10515089852656,7.5,-27.7,0.3564713
France,2024-07,98.20294687293143,7.5,-38.5,-0.1238365
France,2024-06,97.89894334256785,7.5,-32.6,-0.1236833
France,2024-05,97.1634509303979,7.5,-30.4,0.279064
France,2024-04,99.24244281546495,7.4,-34.4,-0.3245181
France,2024-03,98.654048885729,7.4,-29.1,0.1547716
France,2024-02,98.752114540685,7.5,-29.6,-0.4468322
Italy,2024-09,98.95604877620843,6.0,-14.8,0.1457204
Italy,2024-08,99.3771383454689,6.1,-18.0,-0.2246983
Italy,2024-07,99.3771383454689,6.3,-14.2,0.278341
Italy,2024-06,100.32458987630493,6.7,-16.4,0.1992111
Italy,2024-05,99.90350030704448,6.7,-19.3,0.06644782
Italy,2024-04,99.3771383454689,6.7,-18.7,-0.3047285
Italy,2024-03,100.42986226862006,6.9,-12.8,-0.1058803
Italy,2024-02,100.95622423019564,7.3,-14.0,0.0
Korea,2024-02,118.848752460499,2.6,-20.0,0.03569072
Mexico,2024-09,105.81518828951184,2.704281,51.17,-0.08935953
Mexico,2024-08,105.18260248496344,2.780646,51.89,0.1534228
Mexico,2024-07,105.580482760437,2.712374,51.62,-0.08175859
Mexico,2024-06,105.31749018075551,2.763282,52.16,0.1714756
Mexico,2024-05,104.82230788735278,2.661897,50.12,-0.1073767
Mexico,2024-04,104.12698064713388,2.706683,49.8,0.01534189
Mexico,2024-03,104.66370774784744,2.605951,49.91,0.02557635
Mexico,2024-02,104.02332151746396,2.516008,49.99,0.01790665
Portugal,2024-09,94.1939669153422,6.6,-12.9,0.1150784
Portugal,2024-08,91.4693480376257,6.4,-14.3,-0.1805111
Portugal,2024-07,91.7612714888096,6.5,-11.6,0.3540663
Portugal,2024-06,92.15050275705484,6.5,-14.3,0.07416187
Portugal,2024-05,95.65358417126176,6.4,-18.8,-0.04118407
Portugal,2024-04,98.57281868310088,6.3,-17.0,0.2974072
Portugal,2024-03,100.71359065844958,6.4,-24.2,0.2152564
Portugal,2024-02,97.89166396367176,6.5,-28.3,0.05798727
France,2024-01,98.34023878986984,7.5,-21.4,0.3091127
Italy,2024-01,100.95622423019564,7.2,-11.6,0.02647709
Korea,2024-01,115.44395382241844,3.0,-19.0,0.2265533
Mexico,2024-01,104.30326140331536,2.731031,50.49,0.07936382
Portugal,2024-01,97.30781706130394,6.4,-32.1,0.1825784
Korea,2024-09,118.10395275841888,2.5,-21.0,-0.09526591
Korea,2024-08,118.21035271585887,2.4,-19.0,-0.3323226
Korea,2024-07,113.42235463105814,2.5,-16.0,0.3214842
Korea,2024-06,118.10395275841888,2.8,-20.0,0.2985592
Korea,2024-05,117.25275309889876,2.8,-21.0,-0.2739221
Korea,2024-04,118.10395275841888,2.8,-19.0,0.0
Korea,2024-03,115.1247539500984,2.8,-20.0,-0.1427119
